,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,GoPrice
1,Air India,AI 621,Mumbai,03:55:00,Bengaluru,05:50,01 h 55 m,6823
2,AirAsia,I5 670,Mumbai,19:55:00,Bengaluru,21:45,01 h 50 m,5772
3,AirAsia,I5 2992,Mumbai,23:55:00,Bengaluru,"01:45
+ 1 DAY",01 h 50 m,4606
4,IndiGo,6E 5388,Mumbai,21:30:00,Bengaluru,23:15,01 h 45 m,3699
5,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,7040
6,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,7924
7,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,4287
8,Akasa Air,QP 1341,Mumbai,20:00:00,Bengaluru,21:35,01 h 35 m,7271
9,Akasa Air,QP 1341,Mumbai,20:00:00,Bengaluru,21:35,01 h 35 m,7697
10,Akasa Air,QP 1139,Mumbai,18:05:00,Bengaluru,19:40,01 h 35 m,5999
11,IndiGo,6E 6953,Mumbai,00:50:00,Bengaluru,02:40,01 h 50 m,3895
12,Akasa Air,QP 1306,Mumbai,19:00:00,Bengaluru,20:35,01 h 35 m,7859
45,Akasa Air,QP 1340,Bengaluru,05:30:00,Mumbai,07:20,01 h 50 m,5811
13,IndiGo,6E 5352,Mumbai,06:10:00,Bengaluru,07:50,01 h 40 m,5852
14,IndiGo,6E 5382,Mumbai,12:30:00,Bengaluru,14:15,01 h 45 m,5545
15,IndiGo,6E 5382,Mumbai,12:30:00,Bengaluru,14:15,01 h 45 m,6217
46,IndiGo,6E 5295,Bengaluru,04:25:00,Mumbai,06:20,01 h 55 m,7874
47,IndiGo,6E 5295,Bengaluru,04:25:00,Mumbai,06:20,01 h 55 m,7143
48,Akasa Air,QP 1624,Bengaluru,04:50:00,Mumbai,06:55,02 h 05 m,6713
16,Air India,AI 607,Mumbai,16:40:00,Bengaluru,18:25,01 h 45 m,5632
17,IndiGo,6E 5069,Mumbai,11:15:00,Bengaluru,13:00,01 h 45 m,4948
18,IndiGo,6E 5069,Mumbai,11:15:00,Bengaluru,13:00,01 h 45 m,3029
49,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,5758
50,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,5952
51,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,3602
52,Akasa Air,QP 1138,Bengaluru,15:45:00,Mumbai,17:20,01 h 35 m,7147
53,Akasa Air,QP 1138,Bengaluru,15:45:00,Mumbai,17:20,01 h 35 m,7639
19,Vistara,UK 849,Mumbai,17:30:00,Bengaluru,19:15,01 h 45 m,3271
54,IndiGo,6E 5351,Bengaluru,15:00:00,Mumbai,16:40,01 h 40 m,4897
55,IndiGo,6E 5251,Bengaluru,16:30:00,Mumbai,18:15,01 h 45 m,6242
56,IndiGo,6E 939,Bengaluru,22:45:00,Mumbai,"00:35
+ 1 DAY",01 h 50 m,5687
20,IndiGo,6E 5125,Mumbai,23:15:00,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,4689
21,IndiGo,6E 5125,Mumbai,23:15:00,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,3276
57,IndiGo,6E 5209,Bengaluru,06:00:00,Mumbai,07:35,01 h 35 m,6964
58,IndiGo,6E 5293,Bengaluru,12:15:00,Mumbai,14:05,01 h 50 m,6605
59,IndiGo,6E 5293,Bengaluru,12:15:00,Mumbai,14:05,01 h 50 m,5331
60,Akasa Air,QP 1104,Bengaluru,11:45:00,Mumbai,13:30,01 h 45 m,4341
22,Akasa Air,QP 1110,Mumbai,09:25:00,Bengaluru,11:05,01 h 40 m,5469
61,IndiGo,6E 6347,Bengaluru,21:45:00,Mumbai,23:40,01 h 55 m,5716
62,IndiGo,6E 6347,Bengaluru,21:45:00,Mumbai,23:40,01 h 55 m,4011
63,AirAsia,I5 472,Bengaluru,02:00:00,Mumbai,04:00,02 h,5074
23,Vistara,UK 845,Mumbai,05:55:00,Bengaluru,07:45,01 h 50 m,5344
346,Akasa Air,QP 1406,New Delhi,12:45:00,Hyderabad,15:05,02 h 20 m,3769
24,IndiGo,6E 6293,Mumbai,07:45:00,Bengaluru,09:30,01 h 45 m,5891
25,Vistara,UK 853,Mumbai,16:00:00,Bengaluru,17:45,01 h 45 m,6236
64,Air India,AI 604,Bengaluru,09:20:00,Mumbai,11:35,02 h 15 m,7839
65,Air India,AI 604,Bengaluru,09:20:00,Mumbai,11:35,02 h 15 m,6477
66,Akasa Air,QP 1109,Bengaluru,06:55:00,Mumbai,08:35,01 h 40 m,5115
236,IndiGo,6E 2111,Mumbai,02:30:00,New Delhi,04:40,02 h 10 m,5878
237,IndiGo,6E 2056,Mumbai,05:00:00,New Delhi,07:15,02 h 15 m,5431
238,IndiGo,6E 5187,Mumbai,06:05:00,New Delhi,08:10,02 h 05 m,7238
239,IndiGo,6E 2398,Mumbai,07:00:00,New Delhi,09:10,02 h 10 m,3274
240,Air India,AI 864,Mumbai,07:00:00,New Delhi,09:15,02 h 15 m,3152
241,Air India,AI 864,Mumbai,07:00:00,New Delhi,09:15,02 h 15 m,4273
242,Air India,AI 864,Mumbai,07:00:00,New Delhi,09:15,02 h 15 m,4106
243,IndiGo,6E 825,Mumbai,07:45:00,New Delhi,09:55,02 h 10 m,3388
244,IndiGo,6E 825,Mumbai,07:45:00,New Delhi,09:55,02 h 10 m,4581
245,Akasa Air,QP 1410,Mumbai,07:55:00,New Delhi,10:10,02 h 15 m,7444
246,IndiGo,6E 2139,Mumbai,08:30:00,New Delhi,10:40,02 h 10 m,6506
247,Air India,AI 866,Mumbai,09:00:00,New Delhi,11:20,02 h 20 m,7800
248,SpiceJet,SG 158,Mumbai,09:05:00,New Delhi,11:20,02 h 15 m,6582
249,IndiGo,6E 5008,Mumbai,09:30:00,New Delhi,11:40,02 h 10 m,4060
250,IndiGo,6E 5008,Mumbai,09:30:00,New Delhi,11:40,02 h 10 m,6061
251,Air India,AI 809,Mumbai,10:00:00,New Delhi,12:20,02 h 20 m,7719
252,Air India,AI 623,Mumbai,10:25:00,New Delhi,12:40,02 h 15 m,3581
253,Air India,AI 623,Mumbai,10:25:00,New Delhi,12:40,02 h 15 m,3401
254,IndiGo,6E 6821,Mumbai,10:30:00,New Delhi,12:50,02 h 20 m,4738
255,IndiGo,6E 5113,Mumbai,11:45:00,New Delhi,14:05,02 h 20 m,7416
256,IndiGo,6E 5113,Mumbai,11:45:00,New Delhi,14:05,02 h 20 m,6819
257,IndiGo,6E 2015,Mumbai,12:45:00,New Delhi,14:55,02 h 10 m,5373
258,Akasa Air,QP 1127,Mumbai,13:05:00,New Delhi,15:10,02 h 05 m,3667
259,IndiGo,6E 993,Mumbai,14:30:00,New Delhi,16:35,02 h 05 m,5710
260,Air India,AI 442,Mumbai,15:35:00,New Delhi,18:10,02 h 35 m,4458
261,IndiGo,6E 2326,Mumbai,15:45:00,New Delhi,17:55,02 h 10 m,5270
262,IndiGo,6E 2326,Mumbai,15:45:00,New Delhi,17:55,02 h 10 m,7465
263,Air India,AI 687,Mumbai,16:00:00,New Delhi,18:20,02 h 20 m,4538
264,IndiGo,6E 2103,Mumbai,17:15:00,New Delhi,19:25,02 h 10 m,3079
265,SpiceJet,SG 710,Mumbai,22:30:00,New Delhi,"01:00
+ 1 DAY",02 h 30 m,5558
266,IndiGo,6E 2083,Mumbai,22:50:00,New Delhi,"01:00
+ 1 DAY",02 h 10 m,3586
267,IndiGo,6E 2126,Mumbai,23:55:00,New Delhi,"02:00
+ 1 DAY",02 h 05 m,7389
268,IndiGo,6E 2126,Mumbai,23:55:00,New Delhi,"02:00
+ 1 DAY",02 h 05 m,3169
347,IndiGo,6E 2461,New Delhi,01:55:00,Hyderabad,04:10,02 h 15 m,7427
348,IndiGo,6E 2337,New Delhi,05:40:00,Hyderabad,07:55,02 h 15 m,6024
349,IndiGo,6E 6203,New Delhi,06:30:00,Hyderabad,08:40,02 h 10 m,6745
350,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,3577
351,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,7957
352,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,5274
353,IndiGo,6E 774,New Delhi,08:10:00,Hyderabad,10:20,02 h 10 m,7388
354,IndiGo,6E 774,New Delhi,08:10:00,Hyderabad,10:20,02 h 10 m,6234
355,Air India,AI 542,New Delhi,09:30:00,Hyderabad,12:00,02 h 30 m,4957
356,IndiGo,6E 2005,New Delhi,10:10:00,Hyderabad,12:15,02 h 05 m,5177
357,Air India,AI 522,New Delhi,11:05:00,Hyderabad,13:25,02 h 20 m,3244
358,IndiGo,6E 837,New Delhi,13:30:00,Hyderabad,15:45,02 h 15 m,7602
359,IndiGo,6E 2187,New Delhi,15:05:00,Hyderabad,17:20,02 h 15 m,3519
360,IndiGo,6E 2187,New Delhi,15:05:00,Hyderabad,17:20,02 h 15 m,4007
361,Air India,AI 544,New Delhi,17:00:00,Hyderabad,19:10,02 h 10 m,3687
362,IndiGo,6E 5312,New Delhi,17:15:00,Hyderabad,19:25,02 h 10 m,3468
363,IndiGo,6E 5312,New Delhi,17:15:00,Hyderabad,19:25,02 h 10 m,5105
364,IndiGo,6E 2341,New Delhi,18:45:00,Hyderabad,21:00,02 h 15 m,3420
365,IndiGo,6E 605,New Delhi,19:45:00,Hyderabad,22:00,02 h 15 m,6216
366,IndiGo,6E 605,New Delhi,19:45:00,Hyderabad,22:00,02 h 15 m,4869
367,IndiGo,6E 2371,New Delhi,21:25:00,Hyderabad,23:40,02 h 15 m,5048
368,Air India,AI 839,New Delhi,21:30:00,Hyderabad,23:45,02 h 15 m,5022
186,Akasa Air,QP 1719,New Delhi,09:00:00,Mumbai,10:55,01 h 55 m,6264
187,Akasa Air,QP 1411,New Delhi,10:55:00,Mumbai,13:05,02 h 10 m,6025
188,Akasa Air,QP 1128,New Delhi,16:00:00,Mumbai,18:10,02 h 10 m,7111
189,IndiGo,6E 2009,New Delhi,01:00:00,Mumbai,03:00,02 h,4328
190,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,7643
191,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,4878
192,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,5085
193,IndiGo,6E 5218,New Delhi,06:30:00,Mumbai,08:50,02 h 20 m,4268
194,IndiGo,6E 5218,New Delhi,06:30:00,Mumbai,08:50,02 h 20 m,6402
195,IndiGo,6E 6814,New Delhi,07:15:00,Mumbai,09:20,02 h 05 m,7737
196,IndiGo,6E 2075,New Delhi,08:00:00,Mumbai,10:15,02 h 15 m,5181
197,Air India,AI 665,New Delhi,08:00:00,Mumbai,10:20,02 h 20 m,7425
198,IndiGo,6E 5112,New Delhi,09:00:00,Mumbai,10:55,01 h 55 m,7085
199,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,3157
200,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,3312
201,Air India,AI 865,New Delhi,10:00:00,Mumbai,12:30,02 h 30 m,6475
202,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,7736
203,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,6000
204,SpiceJet,SG 157,New Delhi,12:10:00,Mumbai,14:35,02 h 25 m,3332
205,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,7954
206,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,7176
207,Air India,AI 620,New Delhi,13:30:00,Mumbai,15:40,02 h 10 m,3393
208,Air India,AI 863,New Delhi,14:00:00,Mumbai,16:20,02 h 20 m,7472
209,IndiGo,6E 2176,New Delhi,14:20:00,Mumbai,16:30,02 h 10 m,5788
210,IndiGo,6E 2016,New Delhi,15:45:00,Mumbai,18:00,02 h 15 m,4163
211,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,3327
212,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,3669
213,Air India,AI 441,New Delhi,17:15:00,Mumbai,19:30,02 h 15 m,4235
214,IndiGo,6E 864,New Delhi,17:30:00,Mumbai,19:40,02 h 10 m,5371
215,IndiGo,6E 2017,New Delhi,18:30:00,Mumbai,20:35,02 h 05 m,4352
216,SpiceJet,SG 8709,New Delhi,18:55:00,Mumbai,21:25,02 h 30 m,7362
217,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,6193
218,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,5901
219,Air India,AI 805,New Delhi,20:00:00,Mumbai,22:10,02 h 10 m,6227
220,IndiGo,6E 6424,New Delhi,20:15:00,Mumbai,22:45,02 h 30 m,4814
221,IndiGo,6E 6083,New Delhi,21:00:00,Mumbai,23:05,02 h 05 m,6650
222,IndiGo,6E 2114,New Delhi,22:00:00,Mumbai,"00:05
+ 1 DAY",02 h 05 m,5077
223,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,7880
224,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,4795
225,IndiGo,6E 2519,New Delhi,23:15:00,Mumbai,"01:20
+ 1 DAY",02 h 05 m,5761
369,Vistara,UK 879,New Delhi,17:35:00,Hyderabad,19:50,02 h 15 m,3759
226,Vistara,UK 951,New Delhi,14:20:00,Mumbai,16:25,02 h 05 m,7335
67,AirAsia,I5 2991,Bengaluru,21:25:00,Mumbai,23:10,01 h 45 m,6034
68,IndiGo,6E 488,Bengaluru,10:15:00,Mumbai,11:55,01 h 40 m,7124
69,IndiGo,6E 5134,Bengaluru,13:45:00,Mumbai,15:20,01 h 35 m,3683
370,Vistara,UK 859,New Delhi,10:25:00,Hyderabad,12:35,02 h 10 m,3367
371,Vistara,UK 899,New Delhi,14:45:00,Hyderabad,17:00,02 h 15 m,3175
372,Vistara,UK 899,New Delhi,14:45:00,Hyderabad,17:00,02 h 15 m,6615
227,Vistara,UK 995,New Delhi,10:20:00,Mumbai,12:35,02 h 15 m,7987
376,Akasa Air,QP 1407,Hyderabad,19:25:00,New Delhi,21:45,02 h 20 m,6481
373,SpiceJet,SG 8164,New Delhi,23:00:00,Hyderabad,"01:00
+ 1 DAY",02 h,3823
377,IndiGo,6E 379,Hyderabad,05:05:00,New Delhi,07:25,02 h 20 m,6331
378,IndiGo,6E 491,Hyderabad,09:30:00,New Delhi,11:50,02 h 20 m,3290
379,IndiGo,6E 2171,Hyderabad,11:55:00,New Delhi,14:05,02 h 10 m,5871
380,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,3034
381,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,4632
382,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,5359
383,IndiGo,6E 2003,Hyderabad,18:15:00,New Delhi,20:30,02 h 15 m,3641
384,IndiGo,6E 2003,Hyderabad,18:15:00,New Delhi,20:30,02 h 15 m,5483
385,IndiGo,6E 5605,Hyderabad,21:55:00,New Delhi,"00:05
+ 1 DAY",02 h 10 m,4527
386,IndiGo,6E 6146,Hyderabad,22:45:00,New Delhi,"01:00
+ 1 DAY",02 h 15 m,3183
228,Vistara,UK 963,New Delhi,09:00:00,Mumbai,11:15,02 h 15 m,3387
229,Vistara,UK 993,New Delhi,12:50:00,Mumbai,15:00,02 h 10 m,4391
230,Vistara,UK 993,New Delhi,12:50:00,Mumbai,15:00,02 h 10 m,5964
26,Akasa Air,QP 1625,Mumbai,13:35:00,Bengaluru,15:10,01 h 35 m,6482
27,Akasa Air,QP 1625,Mumbai,13:35:00,Bengaluru,15:10,01 h 35 m,5242
231,SpiceJet,SG 8192,New Delhi,18:20:00,Mumbai,20:45,02 h 25 m,3746
387,Air India,AI 543,Hyderabad,10:05:00,New Delhi,12:30,02 h 25 m,5696
70,Akasa Air,QP 1136,Bengaluru,06:25:00,Mumbai,07:55,01 h 30 m,6932
71,Akasa Air,QP 1136,Bengaluru,06:25:00,Mumbai,07:55,01 h 30 m,5074
269,IndiGo,6E 6082,Mumbai,18:00:00,New Delhi,20:00,02 h,6169
388,IndiGo,6E 2011,Hyderabad,06:45:00,New Delhi,09:00,02 h 15 m,6844
389,IndiGo,6E 2342,Hyderabad,08:40:00,New Delhi,10:45,02 h 05 m,7257
390,IndiGo,6E 2342,Hyderabad,08:40:00,New Delhi,10:45,02 h 05 m,4316
391,IndiGo,6E 6606,Hyderabad,16:30:00,New Delhi,18:50,02 h 20 m,5981
91,Akasa Air,QP 1409,New Delhi,23:00:00,Bengaluru,"01:45
+ 1 DAY",02 h 45 m,7333
92,AirAsia,I5 740,New Delhi,07:50:00,Bengaluru,10:40,02 h 50 m,5887
93,AirAsia,I5 1534,New Delhi,22:55:00,Bengaluru,"01:35
+ 1 DAY",02 h 40 m,7290
94,IndiGo,6E 2067,New Delhi,03:55:00,Bengaluru,06:45,02 h 50 m,6462
95,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,3263
96,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,3198
97,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,5193
98,IndiGo,6E 2403,New Delhi,07:05:00,Bengaluru,09:50,02 h 45 m,6735
99,IndiGo,6E 2403,New Delhi,07:05:00,Bengaluru,09:50,02 h 45 m,7892
100,IndiGo,6E 308,New Delhi,08:00:00,Bengaluru,11:00,03 h,7241
101,IndiGo,6E 2131,New Delhi,21:45:00,Bengaluru,"00:35
+ 1 DAY",02 h 50 m,6020
102,IndiGo,6E 6565,New Delhi,22:55:00,Bengaluru,"01:40
+ 1 DAY",02 h 45 m,7523
72,IndiGo,6E 5207,Bengaluru,07:05:00,Mumbai,08:55,01 h 50 m,4105
103,Air India,AI 514,New Delhi,03:30:00,Bengaluru,06:25,02 h 55 m,6244
104,Air India,AI 803,New Delhi,06:10:00,Bengaluru,09:00,02 h 50 m,6779
105,Air India,AI 803,New Delhi,06:10:00,Bengaluru,09:00,02 h 50 m,7333
106,Air India,AI 504,New Delhi,21:10:00,Bengaluru,"00:05
+ 1 DAY",02 h 55 m,6372
270,Air India,AI 660,Mumbai,18:15:00,New Delhi,20:15,02 h,3224
107,SpiceJet,SG 534,New Delhi,21:35:00,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,5542
108,SpiceJet,SG 534,New Delhi,21:35:00,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,7859
109,SpiceJet,SG 8143,New Delhi,23:55:00,Bengaluru,"02:40
+ 1 DAY",02 h 45 m,7275
232,Vistara,UK 945,New Delhi,11:40:00,Mumbai,13:50,02 h 10 m,3191
233,Air India,AI 605,New Delhi,21:15:00,Mumbai,23:35,02 h 20 m,6944
